parcours,UE,code,EC,ECTS
DTDM,Théorie des transitions numériques,DTDM-M1-1,Introduction aux outils de communication numériques et intelligents,6
DTDM,Théorie des transitions numériques,DTDM-M1-2,Méthodologies de pensée et de conception numériques,6
DTDM,Théorie des transitions numériques,DTDM-M1-3,,
DTDM,Pratiques des transitions numériques,DTDM-M1-4,Introduction à la programmation no-code,6
DTDM,Pratiques des transitions numériques,DTDM-M1-5,Applications de systèmes intelligents (IA et ML),6
DTDM,Pratiques des transitions numériques,DTDM-M1-6,,
DTDM,Langues,DTDM-M1-7,cours de langue étrangère,6
DTDM,Approfondissements théoriques,DTDM-M1-8,Économie des réseaux,6
DTDM,Approfondissements théoriques,DTDM-M1-9,Prospectives numériques,6
DTDM,Approfondissements théoriques,DTDM-M1-10,,
DTDM,Appronfondissement pratiques,DTDM-M1-11,Conception et gestion de projets numériques,6
DTDM,Appronfondissement pratiques,DTDM-M1-12,Management de la transformation numérique,6
DTDM,UE Libre,DTDM-M1-13,EC Libre,6
DTDM,Droits et économies numériques,DTDM-M2-1,Droits fondamentaux à l'ère du numérique et de l'IA,6
DTDM,Droits et économies numériques,DTDM-M2-2,Économie de l'information et des marchés numériques,6
DTDM,Sécurité et pilotage des données,DTDM-M2-3,Sécurité des données et des transaction,6
DTDM,Sécurité et pilotage des données,DTDM-M2-4,"Analyse, gestion, data mining et visualisation de données massives",6
DTDM,UE 3 Libre,DTDM-M2-5,EC Libre,6
DTDM,professionnalisation et recherche,DTDM-M2-6,Préparation à la thèse,30
DTDM,professionnalisation et recherche,DTDM-M2-7,Préparer et Rédiger une thèse à l’ère post-numérique,10
DTDM,professionnalisation et recherche,DTDM-M2-8,Suivi de stage et de mémoire,10
DTDM,professionnalisation et recherche,DTDM-M2-9,Stage,10
