parcours,UE,code,EC,ECTS
CET,Management,EC-1,Management stratégique,3
CET,Management,EC-2,Organisation et logistique,3
CET,Pratiques du Commerce International,EC-3, Politiques et outils de communication,3
CET,Pratiques du Commerce International,EC-4," Règles, démarches, contraintes et moyens de l'import-export",3
CET,Anglais dans le contexte de l'entreprise,EC-5, Business English,3
CET,Anglais dans le contexte de l'entreprise,EC-6, Culture d'Entreprise en anglais,3
CET,Langues étrangères dans le contexte de l'entreprise (all-arabe-esp-it-port-russe),EC-7, Culture d'Entreprise 2e langue étrangère (espagnol-portugais-italien-allemand-russe-arabe),3
CET,Langues étrangères dans le contexte de l'entreprise (all-arabe-esp-it-port-russe),EC-8, Méthodologie de la Recherche (1),3
CET,Transversale. Professionnalisation,EC-9, Applications bureautiques avancées,3
CET,Transversale. Professionnalisation,EC-10, Conférences professionnelles + SCUIO,3
CET,Réglementation du Commerce International,EC-11, Droit du commerce international,3
CET,Réglementation du Commerce International,EC-12, Taux de change et commerce international,3
CET,Marketing et communication,EC-13, Marketing stratégique,3
CET,Marketing et communication,EC-14, EC libre,3
CET,Monde des Affaires,EC-15, Langue des Affaires et préparation à l'emploi en anglais,3
CET,Monde des Affaires,EC-16, gestion du risque à l'import-export,3
CET,Langues des Affaires en langue étrangère (hors anglais),EC-17, Langue des Affaires et préparation à l'emploi en 2e langue étrangère,3
CET,Langues des Affaires en langue étrangère (hors anglais),EC-18, Méthodologie de la recherche (2),3
CET,Stage (2 mois minimum),EC-19,EC Stage Tutoré en entreprise + Rapport de stage,6
CET,Commerce International,EC-20, Théorie du Commerce extérieur,3
CET,Commerce International,EC-21," Dettes, crise et commerce extérieur",3
CET,Management de la fonction commerciale,EC-22, Les leviers du marketing,3
CET,Management de la fonction commerciale,EC-23, Management et Stratégies commerciales,3
CET,Marketing en langue étrangère,EC-24, Marketing en anglais ( Managing Cultural Organizations),3
CET,Marketing en langue étrangère,EC-25, Marketing en 2e langue étrangère,3
CET,Risques juridiques et techniques du commerce international,EC-26, Customs and business Case studies,3
CET,Risques juridiques et techniques du commerce international,EC-27, Droit des contrats à l'international,3
CET,Préparation à l'embauche en langue étrangère,EC-28, Préparation au recrutement en anglais,3
CET,Préparation à l'embauche en langue étrangère,EC-29, Préparation au recrutement en langue étrangère,3
CET,Stage,EC-30, Stage tutoré en entreprise (de préférence à l'étranger) de 4 à 6 mois + Mémoire de Stage en 3 langues + Soutenances,30
