,parcours,code,LIB,ECTS
1,M1MCRE,DMA2EDA3,After Effects,3
2,M1MCRE,DMA2EDA5,Analyse critique,4
3,M2MCRE,DMA4EDA4,Analyse des cas professionnels,9
4,M1ERGO,DPA1ED06,Analyse des systèmes de ressources et de valeurs dans des perspectives de conception du numérique,3
5,M2MACE,DMA3EDD5,Analyse visuelle et graphisme web,6
6,M2MNET,DMA3EDCD,"Analyse, gestion, et visualisation des données massives/Big Data",3
7,M2DTDM,M2DTDM4,"Analysis, Management, Data Mining, and Visualisation of Big Data ",6
8,M1MGID,DMA2ETB8,Anglais,5
9,M1MTRN,DMA2ETE1,Anglais,4
10,M2MACE,DMA4EDD1,Anglais scientifique et technique,3
11,M1MCRE,DMA2EDA9,Animation 2D et vidéo,3
12,M1DTDM,M1DTDM4,Applications of Intelligent Systems (IA and ML),6
13,M1MCRE,DMA1EDA1,Approches transversales des humanités numériques,3
14,M1MCRE,DMA2EDAA,Aspects éditoriaux de la réalisation multimédia ,4
15,M1MCRE,DMA1EDA6,Atelier 3D : modélisation,3
16,M2MMCP,DME3ED08,Atelier d'écriture numérique,3
17,M1MNET,DMA1ED01,Atelier génération de texte,3
18,M1MCRE,DMA1EDA5,Atelier image  illustrator – photoshop,3
19,M1MNET,DMA1ED02,Atelier texte animé et multimédia,3
20,M1MCRE,DMA1EDA8,Atelier vidéo enrichie et compositing,3
21,M2MMCP,DME4ET06,Atelier-Laboratoire,2
22,M1MCRE,DMA1EDA4,Bases de données relationnelles,3
23,M1Nanterre,DME2ED01,Collections et politiques d'acquisition,3
24,M2MGID,DMA3EDB5,Communication digitale et community management,2
25,M2MACE,DMA4EDD7,Communs et intelligence collective,6
26,M2MNET,DMA3EDC5,Conception collaborative et ergonomie (intensif),3
27,M1MMCP,DME1ED10,Conception de sites web et PAO,2
28,M1MCRE,DMA2EDA2,Conception et gestion de projet numérique,3
29,M2MACE,DMA3EDD7,Conception universelle,6
30,M2MMCP,DME4EP05,Conduite de projet,2
31,M2MTRN,M2MTRNinconnu1,Conduite de projet Legal Tech et participation aux conférences sectorielles,3
32,M2MCRE,DMA3EDA6,Création et direction artistique crossmedias,5
