,parcours,UE,code,EC,ECTS
1,M2MACE,Sociotechniques,DMA3EDD5,Analyse visuelle et graphisme web,6
2,M2MACE,Formation et recherche,DMA4EDD1,Anglais scientifique et technique,3
3,M2MACE,Référentiels de connaissances,DMA4EDD7,Communs et intelligence collective,6
4,M2MACE,Modélisation,DMA3EDD7,Conception universelle,6
5,M2MACE,Modélisation,DMA3EDD6,Design des protocoles,6
6,M2MACE,Référentiels de connaissances,DMA4EDD4,Ethique du web et écosystèmes d'information,5
7,M2MACE,Méthodologies de recherche,DMA3EDD2,Méthodes et outils d’analyses statistiques et de fouille de données,6
8,M2MACE,Professionnalisation et recherche,DMA4EDD6,Méthodologie pour la conduite d'études,5
9,M2MACE,Formation et recherche,DMA4EDD2,Projet collaboratif tutoré,3
10,M2MACE,Professionnalisation et recherche,DMA4EDD8,Veille informationnelle,5
11,M2MACE,Formation et recherche,DMA4EDA2,Participation critique II,3
12,M2MACE,Méthodologies de recherche,DMA3XLID,EC Libre,6
