parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1Droit,3,,,DDB2ED04,Droit du numérique,Droit du numérique,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Droit,3,,,DDinconnu1,Droit du numérique et cybersécurité,Droit du numérique et cybersécurité,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Droit,3,,,DDinconnu2,Numérique et éthique,Numérique et éthique,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,,,,DL0ZEA03,Eng Info STN: M1 NET,,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,,,,DL0ZEA04,Eng Info STN: M2 NET,,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,,,1,DMA1ED01,Atelier génération texte,Atelier génération de texte,,,EC,N,30,1,50,50,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,,,1,DMA1ED02,Atelier txt animé & multi,Atelier texte animé et multimédia,,,EC,N,30,1,50,50,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,6,1,DMA1EDA1,Approche transversale HN,Approches transversales des humanités numériques,,,EC,N,30,1,50,50,30,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,1,DMA1EDA2,Economie & drt numérique,Economie et droit du numérique,,,EC,N,30,1,50,50,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA3,Intro à la programmation,Introduction à la programmation,,,EC,N,15,1,50,50,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA4,BD relationnelles,Bases de données relationnelles,,,EC,N,30,1,50,50,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA5,Atelier image illustrator,Atelier image  illustrator – photoshop,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA6,Atelier 3D : modélisation,Atelier 3D : modélisation,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,,DMA1EDA7,Atelier son,,plus dans la maquette,,EC,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA8,Atelier vidéo enrichie...,Atelier vidéo enrichie et compositing,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDA9,Interaction 3D,Interaction 3D,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDAA,Éditorialisa° & strategie,Éditorialisation et strategie de contenu,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDAB,Intégration : HTML / CSS,Intégration : HTML / CSS ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDAC,Graphisme et ergonomie,Graphisme et ergonomie d'interfaces,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,1,DMA1EDAD,Web Graphique & design,Web Graphique et Design des Données (intro. outils num.),,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,1,DMA1EDB1,Introduction aux SIC,Introduction aux sciences de l'information et de la communication,,,EC,N,21,1,100,0,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,4,,1,DMA1EDB2,Gestion projet ingé-doc.,Gestion de projet en ingénierie documentaire,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,2,,1,DMA1EDB3,Indexa. doc & métadonnées,Indexation des documents et métadonnées,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,1,DMA1EDB4,Langages documentaires...,Langages documentaires et classifications,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
