parcours,ECTS,code,LIB,HYBRIDE,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1MCRE,3,DMA2EDA3,After Effects,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,DMA2EDA5,Analyse critique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,9,DMA4EDA4,Analyse des cas professionnels,,15,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1ERGO,3,DPA1ED06,Analyse des systèmes de ressources et de valeurs dans des perspectives de conception du numérique,,36,1,50,50,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,DMA3EDD5,Analyse visuelle et graphisme web,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDCD,"Analyse, gestion, et visualisation des données massives/Big Data",,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2DTDM,6,M2DTDM4,"Analysis, Management, Data Mining, and Visualisation of Big Data ",,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
M1MGID,5,DMA2ETB8,Anglais,,15,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,4,DMA2ETE1,Anglais,,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,3,DMA4EDD1,Anglais scientifique et technique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA2EDA9,Animation 2D et vidéo,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
