idPersonne,Structure,Composante,Formation,Periode,code,Enseignement,FOAD,RegInsc,CM,TD
1, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA2 , Economie et droit du numérique-,Non,"FI, FC, FA",7.50,7.50
1, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDAA , Aspects éditoriaux de la réalisation multimédia-,Non,"FI, FC, FA",15.00,15.00
1, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA3EDA5 , Traitement éditorial et création numérique-,Non,"FI, FC, FA",15.00,15.00
2,UFR DROIT,UFR M.I.T.S.I.C.,M2 Humanités numériques Parcours Transitions numériques,,DMA3EDE7 ," Enjeux contemporains de l’éthique, du droit et normalisation-",Non,"FI, FC, FA",30.00,
3, ,UFR M.I.T.S.I.C.,M2 Humanités numériques Parcours Transitions numériques,,DMA3EDE8 , Conduite de projet Legal Tech et participation conférences-,Non,"FI, FC, FA",15.00,15.00
4, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Patrimoine et musées Parcours Médiation culturelle, patrimoine et numérique",,DME4ET06 , Atelier-Laboratoire,Non,"FI, FC, FA",24.00,
5,UFR PSYCHOLOGIE,UFR M.I.T.S.I.C.,M2 Humanités numériques Parcours Transitions numériques,,DMA3EDE3 , Impact psychologique du numérique-,Non,"FI, FC, FA",1.20,1.80
5,UFR PSYCHOLOGIE,I.E.D.,"M2 Psychologie Parcours Psychologie du développement : éducation, troubles et problématiques actuelles IED",,DNB4ED16 , Périnatalité-,Non,"FI, FC, FA",0.00,49.00
5,UFR PSYCHOLOGIE,UFR PSYCHOLOGIE,"Enseignement mutualisé
M2 Psychologie Parcours Psychologie du développement : éducation, troubles et problématiques actuelles",,DPA3ED37 , Psychopathologie de l'enfant-,Non,"FI, FC, FA",4.80,7.20
5,UFR PSYCHOLOGIE,UFR PSYCHOLOGIE,"Enseignement mutualisé
M2 Psychologie Parcours Psychologie du développement : éducation, troubles et problématiques actuelles",,DPA4ED16 , Périnatalité-,Non,"FI, FC, FA",11.00,16.00
